1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,64.0,57.3,106.1,43.8,42.1,80.8,74.1,101.0,102.7,114.5,0.0,0.0,156.6,114.5,186.9,58.9,0.0,197.0,107.8,75.8,0.0,0.0,0.0,0.0,0.0
60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,60.2,53.8,99.7,41.2,39.6,76.0,69.7,95.0,96.6,107.7,0.0,0.0,147.2,107.7,175.7,55.4,0.0,185.2,101.3,71.2,0.0,0.0,0.0,0.0,0.0
57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,0.0
56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,0.0
56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,56.3,50.4,93.4,38.6,37.1,71.2,65.2,89.0,90.5,100.8,0.0,0.0,137.9,100.8,164.6,51.9,0.0,173.5,94.9,66.7,0.0,0.0,0.0,0.0,0.0
57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,57.3,51.3,95.0,39.2,37.7,72.4,66.3,90.5,92.0,102.5,0.0,0.0,140.2,102.5,167.4,52.8,0.0,176.4,96.5,67.9,0.0,0.0,0.0,0.0,0.0
70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,70.7,63.2,117.2,48.4,46.5,89.3,81.8,111.6,113.4,126.5,0.0,0.0,173.0,126.5,206.4,65.1,0.0,217.6,119.0,83.7,0.0,0.0,0.0,0.0,0.0
82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,82.1,73.5,136.2,56.2,54.0,103.7,95.1,129.7,131.8,147.0,0.0,0.0,201.0,147.0,239.9,75.6,0.0,252.9,138.3,97.3,0.0,0.0,0.0,0.0,0.0
90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,0.0
91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,91.7,82.0,152.0,62.7,60.3,115.8,106.2,144.8,147.2,164.1,0.0,0.0,224.4,164.1,267.8,84.4,0.0,282.3,154.4,108.6,0.0,0.0,0.0,0.0,0.0
90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,90.7,81.2,150.4,62.1,59.7,114.6,105.1,143.3,145.6,162.4,0.0,0.0,222.0,162.4,265.0,83.6,0.0,279.3,152.8,107.4,0.0,0.0,0.0,0.0,0.0
88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,88.8,79.5,147.2,60.8,58.4,112.2,102.8,140.2,142.6,158.9,0.0,0.0,217.4,158.9,259.4,81.8,0.0,273.5,149.6,105.2,0.0,0.0,0.0,0.0,0.0
